Parameter,value,Ctype,lower,upper
A1,0.82,double,0.73,0.91
A2,0.0076,double,0.0075,0.0077
Ua,0.12,double,0.02,0.12
handling_time,0.0138888888888889,double,0.0111111111111111,0.0166666666666667
swimming_speed,1.5,double,0.5,2
filter_speed,0.8,double,0.1,1
C,0.23,double,0.2,0.26
dec_dist_scale,0.5,double,0.333333333333333,1
kR,3.5,double,2,5
z,30,double,0,70
b,5.095,double,4.075,6.115
m,-1.9,double,-2,-1.8
Ag_frac,0.0000005,double,0.00001,0.001
filter_fraction,0.85,double,0.5,0.9
Q10_MF,3.1,double,1.5,3.4
M_FEED,0.0045,double,0.0025,0.0065
rrr,0.65,double,0.51,0.79
ED,5,double,4,6

