"param","delta","ratio"
1,1,1.39163831506278
1,2,1.39794961942384
2,1,1.39169496968603
2,2,1.39172140369863
3,1,1.39351091594651
3,2,1.38611090134333
4,1,1.3916375214474
4,2,1.37465006468472
5,1,1.40850589422814
5,2,1.37556636436918
6,1,1.38105996879545
6,2,1.42175162680521
7,1,1.38454485954304
7,2,1.39721832712853
8,1,1.41394139748675
8,2,1.30023988816238
9,1,1.38708754846175
9,2,1.39523063291215
10,1,1.38228000830724
10,2,1.07389123878601
11,1,1.45257139096722
11,2,1.3400779394187
12,1,1.34590381656832
12,2,1.43240762492439
13,1,1.3919936967689
13,2,1.40006529890902
14,1,1.38140919952943
14,2,1.47245030093427
15,1,1.38186090136482
15,2,1.40951971404829
16,1,1.38173749440411
16,2,1.3931885339627
17,1,1.38269148560733
17,2,1.4010766934635
18,1,1.4003325348919
18,2,1.38398951514033
