"param","delta","ratio"
1,-1,1.32331181786145
1,1,1.33430344320325
2,-1,1.32842993825211
2,1,1.33080053965931
3,-1,1.33001484705945
3,1,1.32929851933209
4,-1,6.70710781803908e-30
4,1,1.32610972930999
5,-1,1.33261149991488
5,1,1.32714162815661
6,-1,1.30427364297239
6,1,1.31729286597056
7,-1,1.32252196847451
7,1,1.29826673779687
8,-1,1.31005122811613
8,1,1.31292478420719
9,-1,1.30756544217122
9,1,1.31586340381182
10,-1,1.32636090005279
10,1,1.29566465232862
11,-1,1.31348212346551
11,1,1.27551953225971
12,-1,1.30328524056219
12,1,1.31653820016966
13,-1,1.3072803959905
13,1,1.31484952265411
14,-1,1.30328524056219
14,1,1.31653820016966
15,-1,1.30057170516371
15,1,1.31695809208836
16,-1,1.24797332575229
16,1,1.32282925974275
17,-1,1.310712116175
17,1,1.31193184047059
18,-1,1.31341736216492
18,1,1.30946825001004
19,-1,1.31109787055352
19,1,1.31151104838105
20,-1,1.31078257584212
20,1,1.31185396412003
21,-1,1.31196644125364
21,1,1.31037798966148
22,-1,1.30541633226586
22,1,1.31588710852612
23,-1,1.31442371304817
23,1,1.30820778697417
24,-1,1.31675604280632
24,1,1.30563877013675
25,-1,1.31131798226613
25,1,1.31134396239665
26,-1,1.31571752545399
26,1,1.30663712220772
27,-1,1.35802747113092
27,1,1.23939627267425
28,-1,1.31037563785903
28,1,1.31227993737523
29,-1,1.3113474789617
29,1,1.3113230735796
