"param1","param2","delta1","delta2","ratio"
5,7,-5,-5,1.16658170624212
5,7,-5,-4,1.22480659086256
5,7,-5,-3,1.26597341931546
5,7,-5,-2,1.29284023188773
5,7,-5,-1,1.30981757028514
5,7,-5,0,1.32047525304399
5,7,-5,1,1.32585091235544
5,7,-5,2,1.3278358204752
5,7,-5,3,1.32722802684149
5,7,-5,4,1.32470115862812
5,7,-5,5,1.32178314559939
5,7,-4,-5,1.19664307423955
5,7,-4,-4,1.25028298782901
5,7,-4,-3,1.28571565053581
5,7,-4,-2,1.30646876888714
5,7,-4,-1,1.31973034295089
5,7,-4,0,1.32584045982948
5,7,-4,1,1.32791226680405
5,7,-4,2,1.32705481265884
5,7,-4,3,1.32397662344243
5,7,-4,4,1.32030044527231
5,7,-4,5,1.31375397308156
5,7,-3,-5,1.22083747660491
5,7,-3,-4,1.26948719278166
5,7,-3,-3,1.29864702754659
5,7,-3,-2,1.31585192632852
5,7,-3,-1,1.32458368369848
5,7,-3,0,1.32769594436963
5,7,-3,1,1.32728237631516
5,7,-3,2,1.32416795325249
5,7,-3,3,1.319988443776
5,7,-3,4,1.31322587131282
5,7,-3,5,1.30531417301184
5,7,-2,-5,1.24023184406714
5,7,-2,-4,1.28404752233188
5,7,-2,-3,1.30803071583524
5,7,-2,-2,1.32133224108879
5,7,-2,-1,1.32689241738956
5,7,-2,0,1.32747816656449
5,7,-2,1,1.32497969326763
5,7,-2,2,1.32124857698987
5,7,-2,3,1.31383309042015
5,7,-2,4,1.30560019611742
5,7,-2,5,1.29651900391273
5,7,-1,-5,1.25561098765849
5,7,-1,-4,1.29429372462321
5,7,-1,-3,1.3152856057589
5,7,-1,-2,1.32498329000984
5,7,-1,-1,1.32801736374358
5,7,-1,0,1.3265650163609
5,7,-1,1,1.32272818355591
5,7,-1,2,1.31568182453713
5,7,-1,3,1.30763066718056
5,7,-1,4,1.29799706618298
5,7,-1,5,1.28809836248342
5,7,0,-5,1.26861683270678
5,7,0,-4,1.30203566147706
5,7,0,-3,1.3201445781178
5,7,0,-2,1.32676775545634
5,7,0,-1,1.32760701489221
5,7,0,0,1.32433443192587
5,7,0,1,1.31915847437074
5,7,0,2,1.31084375100786
5,7,0,3,1.30066166982028
5,7,0,4,1.29054280455789
5,7,0,5,1.28060551416676
5,7,1,-5,1.27910608486933
5,7,1,-4,1.30868448193735
5,7,1,-3,1.32329335288034
5,7,1,-2,1.32776221838819
5,7,1,-1,1.32672237710516
5,7,1,0,1.32258823238465
5,7,1,1,1.31454029595723
5,7,1,2,1.30505399222123
5,7,1,3,1.2943367268718
5,7,1,4,1.28374840317269
5,7,1,5,1.27307214440775
5,7,2,-5,1.28752700098431
5,7,2,-4,1.31430180328655
5,7,2,-3,1.32547407126931
5,7,2,-2,1.3276302229822
5,7,2,-1,1.32493410921949
5,7,2,0,1.31960584135291
5,7,2,1,1.31054715145618
5,7,2,2,1.29935721214096
5,7,2,3,1.28796190816061
5,7,2,4,1.27707114781808
5,7,2,5,1.2659479450564
5,7,3,-5,1.29465892370153
5,7,3,-4,1.31839283564656
5,7,3,-3,1.32675071998516
5,7,3,-2,1.32743671312386
5,7,3,-1,1.3231317291201
5,7,3,0,1.3155415261434
5,7,3,1,1.30538722938611
5,7,3,2,1.2937144212809
5,7,3,3,1.28230973372347
5,7,3,4,1.2703827886052
5,7,3,5,1.25972618602108
5,7,4,-5,1.3001006711804
5,7,4,-4,1.32089121887234
5,7,4,-3,1.32774696306623
5,7,4,-2,1.32668626175516
5,7,4,-1,1.32204494544991
5,7,4,0,1.31221164415233
5,7,4,1,1.30048796772702
5,7,4,2,1.28838202956341
5,7,4,3,1.27657284557257
5,7,4,4,1.26458818333663
5,7,4,5,1.2541253984596
5,7,5,-5,1.30510484670152
5,7,5,-4,1.3234125058088
5,7,5,-3,1.32800893402987
5,7,5,-2,1.32550882068436
5,7,5,-1,1.31898726761365
5,7,5,0,1.30840878045972
5,7,5,1,1.29590027942108
5,7,5,2,1.28357457933994
5,7,5,3,1.27074061730724
5,7,5,4,1.25941400428049
5,7,5,5,1.24893855158835
