"param","delta","trend"
1,1,-0.0183312884267031
1,2,-0.0199825172875768
2,1,-0.0183360084123625
2,2,-0.0183265549439696
3,1,-0.0186649586208124
3,2,-0.0174495734269694
4,1,-0.0208237721602869
4,2,-0.0163273713393628
5,1,-0.0285061256903927
5,2,-0.0163968822535678
6,1,-0.0174165737410874
6,2,-0.0189802445012744
7,1,-0.0254067930296933
7,2,-0.0114485507794124
8,1,-0.0176262451938875
8,2,-0.0188013480202814
9,1,-0.0167695031500577
9,2,-0.0234449438694862
10,1,-0.0168550241804084
10,2,-0.0174589315001289
11,1,-0.0150002269195594
11,2,-0.0197065735079965
12,1,-0.0181342321763146
12,2,-0.0182526434730105
13,1,-0.0183099422101017
13,2,-0.0183312884267031
14,1,-0.018194383296927
14,2,-0.0182596813758138
15,1,-0.0182760428987189
15,2,-0.0182620578265273
16,1,-0.0179701105572429
16,2,-0.018254974748484
17,1,-0.0178120141108806
17,2,-0.0187665799679446
18,1,-0.0186610718630405
18,2,-0.0180356068466576
19,1,-0.0174639068146907
19,2,-0.0184960597700616
20,1,-0.0185346058377069
20,2,-0.0181275977538918
21,1,-0.0196721287527641
21,2,-0.0102675247964338
22,1,-0.0181790491166966
22,2,-0.0184625909831556
23,1,-0.0181469971562911
23,2,-0.0185175286368846
24,1,-0.0183959016123235
24,2,-0.0182670106589149
25,1,-0.0182789799275422
25,2,-0.0183778341247327
26,1,-0.0186881148882942
26,2,-0.0175925720139945
27,1,-0.0191889953448416
27,2,-0.0172936725749666
28,1,-0.0183158497551438
28,2,-0.0181967945503345
29,1,-0.0184493180092707
29,2,-0.0182097224053652
