"param","delta","trend"
1,-1,-0.0213507934414875
1,1,-0.0230827590750066
2,-1,-0.0223634627154426
2,1,-0.0223080748577036
3,-1,-0.0223988420764628
3,1,-0.022291212705453
4,-1,-1.87928522336791e+29
4,1,-0.0209601275617802
5,-1,-0.0232388183178383
5,1,-0.0215556631103653
6,-1,-0.0185011855392618
6,1,-0.019809920155261
7,-1,-0.0205578985743718
7,1,-0.01781441428137
8,-1,-0.0190317698815457
8,1,-0.0192677205095593
9,-1,-0.0187890703779184
9,1,-0.0196713816519711
10,-1,-0.0186712130828387
10,1,-0.0190053532048893
11,-1,-0.0195329461859672
11,1,-0.0124723523979507
12,-1,-0.0190169069612051
12,1,-0.0191060521835073
13,-1,-0.0191247248583699
13,1,-0.0191568642500692
14,-1,-0.0190169069612051
14,1,-0.0191060521835073
15,-1,-0.018953173316418
15,1,-0.0191053555579978
16,-1,-0.0174845700749003
16,1,-0.0190948923175456
17,-1,-0.0191077025726581
17,1,-0.0192683367187018
18,-1,-0.019398571208166
18,1,-0.0190972347036862
19,-1,-0.0190228644210025
19,1,-0.0193650032910221
20,-1,-0.0193471107992136
20,1,-0.0190259960973923
21,-1,-0.0193358950247302
21,1,-0.0190361702496073
22,-1,-0.0185206188619394
22,1,-0.0196634278960995
23,-1,-0.019377182990801
23,1,-0.0189962350766317
24,-1,-0.0196890539117099
24,1,-0.0186243176762836
25,-1,-0.0191234054028258
25,1,-0.0192389111601715
26,-1,-0.0197524016134335
26,1,-0.0186715494108352
27,-1,-0.024470941348776
27,1,-0.0141901476242486
28,-1,-0.019233657118819
28,1,-0.0191390884202654
29,-1,-0.019244953009981
29,1,-0.019131188097712
