"param1","param2","delta1","delta2","trend"
5,7,-5,-5,-0.0249725614250062
5,7,-5,-4,-0.0300184365038132
5,7,-5,-3,-0.0320952883445654
5,7,-5,-2,-0.0320561005554219
5,7,-5,-1,-0.0308210579497318
5,7,-5,0,-0.0289458094803623
5,7,-5,1,-0.0268870059027497
5,7,-5,2,-0.0250350764094229
5,7,-5,3,-0.0232363235235354
5,7,-5,4,-0.0216938896880578
5,7,-5,5,-0.020586321459016
5,7,-4,-5,-0.027824122751227
5,7,-4,-4,-0.0315257831854865
5,7,-4,-3,-0.0323054714596814
5,7,-4,-2,-0.0311741541186051
5,7,-4,-1,-0.0292831010249337
5,7,-4,0,-0.0270749972861554
5,7,-4,1,-0.0249552602404608
5,7,-4,2,-0.0230107020642975
5,7,-4,3,-0.0213907756377812
5,7,-4,4,-0.0202487964017423
5,7,-4,5,-0.0192439249569339
5,7,-3,-5,-0.0298211444153629
5,7,-3,-4,-0.0322573680205914
5,7,-3,-3,-0.0318448663168077
5,7,-3,-2,-0.0299510921696986
5,7,-3,-1,-0.0276588223691802
5,7,-3,0,-0.0253210855321574
5,7,-3,1,-0.0232096981306107
5,7,-3,2,-0.0214349893555148
5,7,-3,3,-0.0201914842286246
5,7,-3,4,-0.0191360261772204
5,7,-3,5,-0.0183702172962344
5,7,-2,-5,-0.0310387448775489
5,7,-2,-4,-0.0324039403409337
5,7,-2,-3,-0.0310588963755467
5,7,-2,-2,-0.0286757413345672
5,7,-2,-1,-0.0261675084356711
5,7,-2,0,-0.023775266578314
5,7,-2,1,-0.021788308059618
5,7,-2,2,-0.0203856882508859
5,7,-2,3,-0.0192315271839511
5,7,-2,4,-0.0183988217587045
5,7,-2,5,-0.0173935179302418
5,7,-1,-5,-0.0317310156270805
5,7,-1,-4,-0.0320512382899556
5,7,-1,-3,-0.0301336123431626
5,7,-1,-2,-0.0275076891199816
5,7,-1,-1,-0.0249113357164103
5,7,-1,0,-0.0225683200527007
5,7,-1,1,-0.020812749845716
5,7,-1,2,-0.0194935751762613
5,7,-1,3,-0.0185709062352933
5,7,-1,4,-0.0175632616412268
5,7,-1,5,-0.016476688049984
5,7,0,-5,-0.032211281223083
5,7,0,-4,-0.0315028756315648
5,7,0,-3,-0.0292062246152886
5,7,0,-2,-0.0262822753614016
5,7,0,-1,-0.0236546453022189
5,7,0,0,-0.0215092478267046
5,7,0,1,-0.0200539422056618
5,7,0,2,-0.0189070584536529
5,7,0,3,-0.0178089956334305
5,7,0,4,-0.0167818953843563
5,7,0,5,-0.0157655692357731
5,7,1,-5,-0.0322827604624518
5,7,1,-4,-0.0309489634002855
5,7,1,-3,-0.0281625151398098
5,7,1,-2,-0.0252445850870649
5,7,1,-1,-0.0226708771932745
5,7,1,0,-0.0207392444246873
5,7,1,1,-0.0193280084989391
5,7,1,2,-0.0183234584754081
5,7,1,3,-0.0171690452928958
5,7,1,4,-0.0160090231770075
5,7,1,5,-0.0150780825885528
5,7,2,-5,-0.0322176287494333
5,7,2,-4,-0.0302591178840668
5,7,2,-3,-0.0273104405917842
5,7,2,-2,-0.024197921994459
5,7,2,-1,-0.0217525572848682
5,7,2,0,-0.0200929937476137
5,7,2,1,-0.0188467665239265
5,7,2,2,-0.0176880334563168
5,7,2,3,-0.016458817746211
5,7,2,4,-0.0153261010937519
5,7,2,5,-0.0146018447037309
5,7,3,-5,-0.0320514316111239
5,7,3,-4,-0.029637974734054
5,7,3,-3,-0.0263238426314408
5,7,3,-2,-0.0234056529986591
5,7,3,-1,-0.0210914419503717
5,7,3,0,-0.01947091966577
5,7,3,1,-0.0183694417749987
5,7,3,2,-0.0171256225358964
5,7,3,3,-0.0158807221933639
5,7,3,4,-0.0149407477223693
5,7,3,5,-0.0142781410499752
5,7,4,-5,-0.0316449647810717
5,7,4,-4,-0.0287970076564813
5,7,4,-3,-0.0255472611317561
5,7,4,-2,-0.0226100770309988
5,7,4,-1,-0.0205051247535897
5,7,4,0,-0.0189978683003013
5,7,4,1,-0.0177864286364407
5,7,4,2,-0.016496757555476
5,7,4,3,-0.0153080323075118
5,7,4,4,-0.0145388197219342
5,7,4,5,-0.013835399734277
5,7,5,-5,-0.0312695706076786
5,7,5,-4,-0.0281456700420448
5,7,5,-3,-0.0247735174973581
5,7,5,-2,-0.0219714586552208
5,7,5,-1,-0.0200244087759843
5,7,5,0,-0.0186741599403289
5,7,5,1,-0.0173199900547878
5,7,5,2,-0.0159888340181771
5,7,5,3,-0.0149631576160799
5,7,5,4,-0.0142675401637859
5,7,5,5,-0.0135636496710095
