"A1","d1","k","d2","trend"
0.9,-5,0.9,-5,-0.0249187299579931
0.9,-5,0.9,-4,-0.0291487114457885
0.9,-5,0.9,-3,-0.033374076153204
0.9,-5,0.9,-2,-0.0376453432658628
0.9,-5,0.9,-1,-0.0420021704432672
0.9,-5,0.9,0,-0.0464760362906693
0.9,-5,0.9,1,-0.0510943156636455
0.9,-5,0.9,2,-0.0558814502466611
0.9,-5,0.9,3,-0.0608611990004131
0.9,-5,0.9,4,-0.0660552840508675
0.9,-5,0.9,5,-0.0714849678595509
1.08,-4,1.08,-5,-0.0290275392959338
1.08,-4,1.08,-4,-0.0341610148464027
1.08,-4,1.08,-3,-0.0394011225084874
1.08,-4,1.08,-2,-0.0448146129742345
1.08,-4,1.08,-1,-0.0504561595637901
1.08,-4,1.08,0,-0.0563722663246329
1.08,-4,1.08,1,-0.0626077309761919
1.08,-4,1.08,2,-0.0692037369412901
1.08,-4,1.08,3,-0.0761989214240651
1.08,-4,1.08,4,-0.0836323548405545
1.08,-4,1.08,5,-0.0915414227813295
1.26,-3,1.26,-5,-0.0331914771079105
1.26,-3,1.26,-4,-0.0393395971837661
1.26,-3,1.26,-3,-0.0457469789450855
1.26,-3,1.26,-2,-0.0525045281248752
1.26,-3,1.26,-1,-0.0596897077254844
1.26,-3,1.26,0,-0.067372281374259
1.26,-3,1.26,1,-0.075618480824001
1.26,-3,1.26,2,-0.0844937880634586
1.26,-3,1.26,3,-0.0940615136519942
1.26,-3,1.26,4,-0.104382861323515
1.26,-3,1.26,5,-0.11551626739563
1.44,-2,1.44,-5,-0.0373498760311326
1.44,-2,1.44,-4,-0.0446040705058057
1.44,-2,1.44,-3,-0.0523308180671296
1.44,-2,1.44,-2,-0.0606527483572525
1.44,-2,1.44,-1,-0.0696812557683276
1.44,-2,1.44,0,-0.079518337612848
1.44,-2,1.44,1,-0.0902626548056226
1.44,-2,1.44,2,-0.102007494552332
1.44,-2,1.44,3,-0.11484089304722
1.44,-2,1.44,4,-0.128843545626859
1.44,-2,1.44,5,-0.14408618303439
1.62,-1,1.62,-5,-0.04157190910831
1.62,-1,1.62,-4,-0.0501083698337398
1.62,-1,1.62,-3,-0.0593955302097891
1.62,-1,1.62,-2,-0.0695961770694506
1.62,-1,1.62,-1,-0.0808623543638493
1.62,-1,1.62,0,-0.0933351957987796
1.62,-1,1.62,1,-0.107149168772596
1.62,-1,1.62,2,-0.122426152383936
1.62,-1,1.62,3,-0.139271794169038
1.62,-1,1.62,4,-0.157772962959029
1.62,-1,1.62,5,-0.177995005541903
1.8,0,1.8,-5,-0.0459877747532475
1.8,0,1.8,-4,-0.0559912409237759
1.8,0,1.8,-3,-0.0670947654973944
1.8,0,1.8,-2,-0.0795121747753761
1.8,0,1.8,-1,-0.0934417051197129
1.8,0,1.8,0,-0.109068877383213
1.8,0,1.8,1,-0.126557928007619
1.8,0,1.8,2,-0.146047604960366
1.8,0,1.8,3,-0.167643262872022
1.8,0,1.8,4,-0.191414864265985
1.8,0,1.8,5,-0.217397648235601
1.98,1,1.98,-5,-0.0506413358789776
1.98,1,1.98,-4,-0.0623151533900046
1.98,1,1.98,-3,-0.0755152078565573
1.98,1,1.98,-2,-0.0905151945242927
1.98,1,1.98,-1,-0.107567533444637
1.98,1,1.98,0,-0.126895408442663
1.98,1,1.98,1,-0.14867955519071
1.98,1,1.98,2,-0.173052415620911
1.98,1,1.98,3,-0.200093319411222
1.98,1,1.98,4,-0.229832370459202
1.98,1,1.98,5,-0.262259683909912
2.16,2,2.16,-5,-0.055565133075205
2.16,2,2.16,-4,-0.069137999309922
2.16,2,2.16,-3,-0.0847493366440637
2.16,2,2.16,-2,-0.102740523742284
2.16,2,2.16,-1,-0.123411742639057
2.16,2,2.16,0,-0.147006578296991
2.16,2,2.16,1,-0.173698238525265
2.16,2,2.16,2,-0.20358490556402
2.16,2,2.16,3,-0.236695949362884
2.16,2,2.16,4,-0.273007346163128
2.16,2,2.16,5,-0.312460459812687
2.34,3,2.34,-5,-0.0608138725407506
2.34,3,2.34,-4,-0.0765418623780146
2.34,3,2.34,-3,-0.0949072346953479
2.34,3,2.34,-2,-0.11631703435299
2.34,3,2.34,-1,-0.141106298685314
2.34,3,2.34,0,-0.169514925114677
2.34,3,2.34,1,-0.201679116497693
2.34,3,2.34,2,-0.237638131026137
2.34,3,2.34,3,-0.277357939422098
2.34,3,2.34,4,-0.320759765634827
2.34,3,2.34,5,-0.367753544269546
2.52,4,2.52,-5,-0.066432376088031
2.52,4,2.52,-4,-0.0845842275876482
2.52,4,2.52,-3,-0.106059512088956
2.52,4,2.52,-2,-0.131321615766455
2.52,4,2.52,-1,-0.160715828491127
2.52,4,2.52,0,-0.19444958529674
2.52,4,2.52,1,-0.232594338910901
2.52,4,2.52,2,-0.275116350185917
2.52,4,2.52,3,-0.321919316246997
2.52,4,2.52,4,-0.37289048013367
2.52,4,2.52,5,-0.427930093370415
2.7,5,2.7,-5,-0.0724501774974081
2.7,5,2.7,-4,-0.0933070213599187
2.7,5,2.7,-3,-0.118257601565053
2.7,5,2.7,-2,-0.147804327627567
2.7,5,2.7,-1,-0.182273808675757
2.7,5,2.7,0,-0.221807474314424
2.7,5,2.7,1,-0.266392835536569
2.7,5,2.7,2,-0.315921373672808
2.7,5,2.7,3,-0.370254315773078
2.7,5,2.7,4,-0.429267562949444
2.7,5,2.7,5,-0.492877109627893
