"param","delta","trend"
1,1,0.0691805484553914
1,2,0.0695411590869188
2,1,0.0689851025843959
2,2,0.069159753565624
3,1,0.0690857919107349
3,2,0.0678693130735309
4,1,0.0691803852819636
4,2,0.0700769208571933
5,1,0.089759776874884
5,2,0.0633025380927134
6,1,0.0432248453295978
6,2,0.0819284083480519
7,1,0.066144757465765
7,2,0.0713355405500213
8,1,0.084767490815213
8,2,0.0463409680722085
9,1,0.0670048619890699
9,2,0.0707890979538553
10,1,0.0690759629567233
10,2,0.0376790551964848
11,1,0.0700074197670362
11,2,0.0696484625892914
12,1,0.0715429104211845
12,2,0.0668491005219769
13,1,0.0352628986567548
13,2,0.0780083433570238
14,1,0.0478240642600364
14,2,0.0880349268726184
15,1,0.0524782463299779
15,2,0.0787857004750313
16,1,0.0693096679945138
16,2,0.0689593265452201
17,1,0.0689255070680717
17,2,0.0692146779636892
18,1,0.0701971968133474
18,2,0.067877748560339
