"param1","param2","delta1","delta2","trend"
5,7,-5,-5,0.0420786316198194
5,7,-5,-4,0.0438191566309655
5,7,-5,-3,0.0457502472292997
5,7,-5,-2,0.0471452941656243
5,7,-5,-1,0.0471044842963853
5,7,-5,0,0.0452314426736528
5,7,-5,1,0.0430410943612126
5,7,-5,2,0.0401769474811886
5,7,-5,3,0.0372016326482035
5,7,-5,4,0.0338181552108342
5,7,-5,5,0.0312200265821982
5,7,-4,-5,0.0428589963506169
5,7,-4,-4,0.0449354926625883
5,7,-4,-3,0.0467252528125988
5,7,-4,-2,0.0472405298133928
5,7,-4,-1,0.0454955985032273
5,7,-4,0,0.0431395270976109
5,7,-4,1,0.0400819254876682
5,7,-4,2,0.0366598911185463
5,7,-4,3,0.0331092090855013
5,7,-4,4,0.0303005633314937
5,7,-4,5,0.027962073077961
5,7,-3,-5,0.0436733786119567
5,7,-3,-4,0.0459413539571651
5,7,-3,-3,0.0473625040150928
5,7,-3,-2,0.0462839354835025
5,7,-3,-1,0.043845832851277
5,7,-3,0,0.0406129047820694
5,7,-3,1,0.0371458626370084
5,7,-3,2,0.0332123914989023
5,7,-3,3,0.030207405529357
5,7,-3,4,0.0277035458709206
5,7,-3,5,0.0254154506383461
5,7,-2,-5,0.0444650513948275
5,7,-2,-4,0.0466473537358669
5,7,-2,-3,0.0472314734743448
5,7,-2,-2,0.0450146810502206
5,7,-2,-1,0.0419716562180653
5,7,-2,0,0.0383118186890199
5,7,-2,1,0.034058569288233
5,7,-2,2,0.0307387505695159
5,7,-2,3,0.0279309147579708
5,7,-2,4,0.025481953607563
5,7,-2,5,0.0234350643431998
5,7,-1,-5,0.045197815077063
5,7,-1,-4,0.0472109461302135
5,7,-1,-3,0.0464888325087532
5,7,-1,-2,0.0436722326138699
5,7,-1,-1,0.0400026339076492
5,7,-1,0,0.0356713592129918
5,7,-1,1,0.0317715571404385
5,7,-1,2,0.0286688718806739
5,7,-1,3,0.0260166381379392
5,7,-1,4,0.0237224383294598
5,7,-1,5,0.0216920066743299
5,7,0,-5,0.045906797909791
5,7,0,-4,0.0473407044069205
5,7,0,-3,0.0454502232323
5,7,0,-2,0.0422224612911586
5,7,0,-1,0.0380199490221385
5,7,0,0,0.0333430214414951
5,7,0,1,0.0297965648594259
5,7,0,2,0.0269337253256813
5,7,0,3,0.0243475648984787
5,7,0,4,0.0221254582556342
5,7,0,5,0.0203265164423574
5,7,1,-5,0.0464459039168107
5,7,1,-4,0.0472089104389989
5,7,1,-3,0.0444467804825752
5,7,1,-2,0.0405119562476802
5,7,1,-1,0.0359179222377609
5,7,1,0,0.0315902974667881
5,7,1,1,0.0281525659012351
5,7,1,2,0.0253463984384653
5,7,1,3,0.0229262184630033
5,7,1,4,0.0208901050473829
5,7,1,5,0.0192182551671443
5,7,2,-5,0.0468473907890402
5,7,2,-4,0.0467281270685656
5,7,2,-3,0.0434297272970232
5,7,2,-2,0.0390276545343294
5,7,2,-1,0.0339491125869722
5,7,2,0,0.0299458209361709
5,7,2,1,0.0268164788115314
5,7,2,2,0.0240041796170724
5,7,2,3,0.0216680729909065
5,7,2,4,0.019797787921279
5,7,2,5,0.0182502662064149
5,7,3,-5,0.0472573626772815
5,7,3,-4,0.0458698383812856
5,7,3,-3,0.0422966908507921
5,7,3,-2,0.0375391354795158
5,7,3,-1,0.032265687101744
5,7,3,0,0.0286108085715532
5,7,3,1,0.0254517811436215
5,7,3,2,0.0228195509318914
5,7,3,3,0.0206247453446057
5,7,3,4,0.0188736460631733
5,7,3,5,0.0174554039583042
5,7,4,-5,0.047349956745194
5,7,4,-4,0.0451580546646676
5,7,4,-3,0.0410267468261629
5,7,4,-2,0.0357532218992238
5,7,4,-1,0.0309904915113504
5,7,4,0,0.027365609446087
5,7,4,1,0.0242965169671268
5,7,4,2,0.0217458561079047
5,7,4,3,0.0197260796981878
5,7,4,4,0.0180753492541763
5,7,4,5,0.0167855283834989
5,7,5,-5,0.0473380220130458
5,7,5,-4,0.0444491934136179
5,7,5,-3,0.0398815794716012
5,7,5,-2,0.034181176288246
5,7,5,-1,0.0297384208579029
5,7,5,0,0.026291437226631
5,7,5,1,0.0232725364551798
5,7,5,2,0.0208629299974282
5,7,5,3,0.0189243222546023
5,7,5,4,0.01740808540434
5,7,5,5,0.0162526357890892
