"assimilated_energy","particulates","filters","percentage","light","abundance"
0,0,0.0100703097832063,0,1e-06,1
0,0,0.0100703097832063,0,1e-05,1
0,0,0.0100703097832063,0,1e-04,1
0,0,0.0100703097832063,0,0.001,1
0,0,0.0100703097832063,0,0.01,1
0,0,0.0100703097832063,0,0.1,1
0,3.18888843950469,0.0128167579058989,99.6555763849091,1,1
0.0202505213684401,10.550527003895,0.0402812391328252,99.7071843574812,10,1
0.0263649540808215,13.7269038642566,0.0402812391328252,99.7747886888122,100,1
0,0,0.0503515489160315,0,1e-06,5
0,0,0.0503515489160315,0,1e-05,5
0,0,0.0503515489160315,0,1e-04,5
0,0,0.0503515489160315,0,0.001,5
0,0,0.0503515489160315,0,0.01,5
0,0,0.0503515489160315,0,0.1,5
0.0305075175724919,15.9027557087458,0.0640837895294946,99.6546766521487,1,5
0.100379487292079,52.2990573997114,0.201406195664126,99.7046523356081,10,5
0.130350587595408,67.868701035474,0.201406195664126,99.7722532322518,100,5
0,0,0.100703097832063,0,1e-06,10
0,0,0.100703097832063,0,1e-05,10
0,0,0.100703097832063,0,1e-04,10
0,0,0.100703097832063,0,0.001,10
0,0,0.100703097832063,0,0.01,10
0,0,0.100703097832063,0,0.1,10
0.0608156003770588,31.7019062597229,0.128167579058989,99.6535520090445,1,10
0.198617955814135,103.485874702099,0.402812391328252,99.7014874891037,10,10
0.257106971072584,133.870260463439,0.402812391328252,99.7690840927564,100,10
0,0,0.503515489160315,0,1e-06,50
0,0,0.503515489160315,0,1e-05,50
0,0,0.503515489160315,0,1e-04,50
0,0,0.503515489160315,0,0.001,50
0,0,0.503515489160315,0,0.01,50
0,0,0.503515489160315,0,0.1,50
0.296328551378698,154.48373549767,0.640837895294946,99.6445557779552,1,50
0.915002552205387,476.86367841316,2.01406195664126,99.6761759482972,10,50
1.15780091200673,602.995103923422,2.01406195664126,99.7437382227384,100,50
0,0,1.00703097832063,0,1e-06,100
0,0,1.00703097832063,0,1e-05,100
0,0,1.00703097832063,0,1e-04,100
0,0,1.00703097832063,0,0.001,100
0,0,1.00703097832063,0,0.01,100
0,0,1.00703097832063,0,0.1,100
0.574356546342801,299.460420431522,1.28167579058989,99.6333127729667,1,100
1.66615009406103,868.605617416521,4.02812391328252,99.6445545894645,10,100
2.05964330740188,1073.02248810268,4.02812391328252,99.7120739891543,100,100
0,0,5.03515489160315,0,1e-06,500
0,0,5.03515489160315,0,1e-05,500
0,0,5.03515489160315,0,1e-04,500
0,0,5.03515489160315,0,0.001,500
0,0,5.03515489160315,0,0.01,500
0,0,5.03515489160315,0,0.1,500
2.30244158439761,1201.52975763337,6.40837895294946,99.543459987054,1,500
4.84822845304686,2533.83585661664,20.1406195664126,99.3923041647028,10,500
5.45810187676524,2850.6771569283,20.1406195664126,99.4594820308183,100,500
0,0,10.0703097832063,0,1e-06,1000
0,0,10.0703097832063,0,1e-05,1000
0,0,10.0703097832063,0,1e-04,1000
0,0,10.0703097832063,0,0.001,1000
0,0,10.0703097832063,0,0.01,1000
0,0,10.0703097832063,0,0.1,1000
3.68889459730039,1927.19457668815,12.8167579058989,99.4313716515697,1,1000
6.35653080908329,3332.42173561764,40.2812391328252,99.0787814537835,10,1000
6.86226081567804,3595.18619518602,40.2812391328252,99.1455360347946,100,1000
0.0969267316633606,0,50.3515489160315,0,1e-06,5000
0.0969267316633606,0,50.3515489160315,0,1e-05,5000
0.0969267316633606,0,50.3515489160315,0,1e-04,5000
0.0969267316633606,0,50.3515489160315,0,0.001,5000
0.0969267316633606,0,50.3515489160315,0,0.01,5000
0.0969267316633606,0,50.3515489160315,0,0.1,5000
7.07521635988728,3728.80749472793,64.0837895294946,98.5436712573744,1,5000
8.30245628187491,4455.91348000726,201.406195664126,96.6400532851209,10,5000
8.47301910970815,4544.74384226113,201.406195664126,96.7035610576177,100,5000
0.193853463326721,0,100.703097832063,0,1e-06,10000
0.193853463326721,0,100.703097832063,0,1e-05,10000
0.193853463326721,0,100.703097832063,0,1e-04,10000
0.193853463326721,0,100.703097832063,0,0.001,10000
0.193853463326721,0,100.703097832063,0,0.01,10000
0.193853463326721,0,100.703097832063,0,0.1,10000
7.92723023437249,4222.18995147404,128.167579058989,97.4560893466954,1,10000
8.44423879731382,4651.9584797824,402.812391328252,93.7554295095372,10,10000
8.53572726175612,4699.91092244444,402.812391328252,93.8152013867295,100,10000
0.969267316633606,0,503.515489160315,0,1e-06,50000
0.969267316633606,0,503.515489160315,0,1e-05,50000
0.969267316633606,0,503.515489160315,0,1e-04,50000
0.969267316633606,0,503.515489160315,0,0.001,50000
0.969267316633606,0,503.515489160315,0,0.01,50000
0.969267316633606,0,503.515489160315,0,0.1,50000
8.2688924815828,4722.03182678129,640.837895294946,89.5495467238244,1,50000
7.96745734923058,4821.66804251087,2014.06195664126,75.6828722081139,10,50000
7.98445855293274,4831.88753663546,2014.06195664126,75.7218166857335,100,50000
1.93853463326721,0,1007.03097832063,0,1e-06,1e+05
1.93853463326721,0,1007.03097832063,0,1e-05,1e+05
1.93853463326721,0,1007.03097832063,0,1e-04,1e+05
1.93853463326721,0,1007.03097832063,0,0.001,1e+05
1.93853463326721,0,1007.03097832063,0,0.01,1e+05
1.93853463326721,0,1007.03097832063,0,0.1,1e+05
7.96276439882757,4792.95832779043,1281.67579058989,81.3043429450174,1,1e+05
8.71170149118486,4843.75636774814,4028.12391328252,60.9876789715673,10,1e+05
8.71814864013713,4848.90760410789,4028.12391328252,61.0129656329696,100,1e+05
