"assimilated_energy","particulates","filters","percentage","light","abundance"
0,0,0.0100703097832063,NA,1e-06,1
0,0,0.0100703097832063,NA,1e-05,1
0,0,0.0100703097832063,NA,1e-04,1
0,0,0.0100703097832063,NA,0.001,1
0,0,0.0100703097832063,NA,0.01,1
0,0,0.0100703097832063,NA,0.1,1
0,3.18888843950469,0.0128167579058989,100,1,1
0.0203097644824979,10.550527003895,0.0402812391328252,100,10,1
0.0264242899386939,13.7269038642566,0.0402812391328252,100,100,1
0,0,0.0503515489160315,NA,1e-06,5
0,0,0.0503515489160315,NA,1e-05,5
0,0,0.0503515489160315,NA,1e-04,5
0,0,0.0503515489160315,NA,0.001,5
0,0,0.0503515489160315,NA,0.01,5
0,0,0.0503515489160315,NA,0.1,5
0.0306128047393356,15.9027557087458,0.0640837895294946,100,1,5
0.100675685494444,52.2990573997114,0.201406195664126,100,10,5
0.130647249493287,67.868701035474,0.201406195664126,100,100,5
0,0,0.100703097832063,NA,1e-06,10
0,0,0.100703097832063,NA,1e-05,10
0,0,0.100703097832063,NA,1e-04,10
0,0,0.100703097832063,NA,0.001,10
0,0,0.100703097832063,NA,0.01,10
0,0,0.100703097832063,NA,0.1,10
0.0610261695499666,31.7019062597229,0.128167579058989,100,1,10
0.19921030880154,103.485874702099,0.402812391328252,100,10,10
0.257700251392121,133.870260463439,0.402812391328252,100,100,10
0,0,0.503515489160315,NA,1e-06,50
0,0,0.503515489160315,NA,1e-05,50
0,0,0.503515489160315,NA,1e-04,50
0,0,0.503515489160315,NA,0.001,50
0,0,0.503515489160315,NA,0.01,50
0,0,0.503515489160315,NA,0.1,50
0.297381190833014,154.48373549767,0.640837895294946,100,1,50
0.917962580945333,476.86367841316,2.01406195664126,100,10,50
1.16076557505259,602.995103923422,2.01406195664126,100,100,50
0,0,1.00703097832063,NA,1e-06,100
0,0,1.00703097832063,NA,1e-05,100
0,0,1.00703097832063,NA,1e-04,100
0,0,1.00703097832063,NA,0.001,100
0,0,1.00703097832063,NA,0.01,100
0,0,1.00703097832063,NA,0.1,100
0.576461309330679,299.460420431522,1.28167579058989,100,1,100
1.6720658135268,868.605617416521,4.02812391328252,100,10,100
2.06556828959766,1073.02248810268,4.02812391328252,100,100,100
0,0,5.03515489160315,NA,1e-06,500
0,0,5.03515489160315,NA,1e-05,500
0,0,5.03515489160315,NA,1e-04,500
0,0,5.03515489160315,NA,0.001,500
0,0,5.03515489160315,NA,0.01,500
0,0,5.03515489160315,NA,0.1,500
2.31294478344423,1201.52975763337,6.40837895294946,100,1,500
4.87763402398703,2533.83585661664,20.1406195664126,100,10,500
5.48755352708698,2850.6771569283,20.1406195664126,100,100,500
0,0,10.0703097832063,NA,1e-06,1000
0,0,10.0703097832063,NA,1e-05,1000
0,0,10.0703097832063,NA,1e-04,1000
0,0,10.0703097832063,NA,0.001,1000
0,0,10.0703097832063,NA,0.01,1000
0,0,10.0703097832063,NA,0.1,1000
3.70984956012469,1927.19457668815,12.8167579058989,100,1,1000
6.41491184106395,3332.42173561764,40.2812391328252,100,10,1000
6.92073342573308,3595.18619518602,40.2812391328252,100,100,1000
0,0,50.3515489160315,NA,1e-06,5000
0,0,50.3515489160315,NA,1e-05,5000
0,0,50.3515489160315,NA,1e-04,5000
0,0,50.3515489160315,NA,0.001,5000
0,0,50.3515489160315,NA,0.01,5000
0,0,50.3515489160315,NA,0.1,5000
7.17795442735127,3728.80749472793,64.0837895294946,100,1,5000
8.57763344901397,4455.91348000726,201.406195664126,100,10,5000
8.74863189635268,4544.74384226113,201.406195664126,100,100,5000
0,0,100.703097832063,NA,1e-06,10000
0,0,100.703097832063,NA,1e-05,10000
0,0,100.703097832063,NA,1e-04,10000
0,0,100.703097832063,NA,0.001,10000
0,0,100.703097832063,NA,0.01,10000
0,0,100.703097832063,NA,0.1,10000
8.12771565658753,4222.18995147404,128.167579058989,100,1,10000
8.95502007358113,4651.9584797824,402.812391328252,100,10,10000
9.04732852570556,4699.91092244444,402.812391328252,100,100,10000
0,0,503.515489160315,NA,1e-06,50000
0,0,503.515489160315,NA,1e-05,50000
0,0,503.515489160315,NA,1e-04,50000
0,0,503.515489160315,NA,0.001,50000
0,0,503.515489160315,NA,0.01,50000
0,0,503.515489160315,NA,0.1,50000
9.08991126655398,4722.03182678129,640.837895294946,100,1,50000
9.28171098183342,4821.66804251087,2014.06195664126,100,10,50000
9.30138350802326,4831.88753663546,2014.06195664126,100,100,50000
0,0,1007.03097832063,NA,1e-06,1e+05
0,0,1007.03097832063,NA,1e-05,1e+05
0,0,1007.03097832063,NA,1e-04,1e+05
0,0,1007.03097832063,NA,0.001,1e+05
0,0,1007.03097832063,NA,0.01,1e+05
0,0,1007.03097832063,NA,0.1,1e+05
9.22644478099659,4792.95832779043,1281.67579058989,100,1,1e+05
9.32423100791517,4843.75636774814,4028.12391328252,100,10,1e+05
9.33414713790769,4848.90760410789,4028.12391328252,100,100,1e+05
