"assimilated_energy","particulates","filters","percentage","light","abundance"
0,0,0.0100703097832063,NA,1e-06,1
0,0,0.0100703097832063,NA,1e-05,1
0,0,0.0100703097832063,NA,1e-04,1
0,0,0.0100703097832063,NA,0.001,1
0,0,0.0100703097832063,NA,0.01,1
0,0,0.0100703097832063,NA,0.1,1
0,0,0.0100703097832063,NA,1,1
0,0,0.0108884988058083,NA,10,1
0.05681966915227,31.134065288915,0.0199687300859096,100,100,1
0,0,0.0503515489160315,NA,1e-06,5
0,0,0.0503515489160315,NA,1e-05,5
0,0,0.0503515489160315,NA,1e-04,5
0,0,0.0503515489160315,NA,0.001,5
0,0,0.0503515489160315,NA,0.01,5
0,0,0.0503515489160315,NA,0.1,5
0,0,0.0503515489160315,NA,1,5
0,0,0.0544424940290417,NA,10,5
0.272528402861872,149.330631705135,0.0998436504295479,100,100,5
0,0,0.100703097832063,NA,1e-06,10
0,0,0.100703097832063,NA,1e-05,10
0,0,0.100703097832063,NA,1e-04,10
0,0,0.100703097832063,NA,0.001,10
0,0,0.100703097832063,NA,0.01,10
0,0,0.100703097832063,NA,0.1,10
0,0,0.100703097832063,NA,1,10
0,0,0.108884988058083,NA,10,10
0.518710728003084,284.225056440046,0.199687300859096,100,100,10
0,0,0.503515489160315,NA,1e-06,50
0,0,0.503515489160315,NA,1e-05,50
0,0,0.503515489160315,NA,1e-04,50
0,0,0.503515489160315,NA,0.001,50
0,0,0.503515489160315,NA,0.01,50
0,0,0.503515489160315,NA,0.1,50
0,0,0.503515489160315,NA,1,50
0,0,0.544424940290417,NA,10,50
1.87459459922985,1027.17512286567,0.998436504295479,100,100,50
0,0,1.00703097832063,NA,1e-06,100
0,0,1.00703097832063,NA,1e-05,100
0,0,1.00703097832063,NA,1e-04,100
0,0,1.00703097832063,NA,0.001,100
0,0,1.00703097832063,NA,0.01,100
0,0,1.00703097832063,NA,0.1,100
0,0,1.00703097832063,NA,1,100
0,0,1.08884988058083,NA,10,100
2.79131789882091,1529.48925962789,1.99687300859096,100,100,100
0,0,5.03515489160315,NA,1e-06,500
0,0,5.03515489160315,NA,1e-05,500
0,0,5.03515489160315,NA,1e-04,500
0,0,5.03515489160315,NA,0.001,500
0,0,5.03515489160315,NA,0.01,500
0,0,5.03515489160315,NA,0.1,500
0,0,5.03515489160315,NA,1,500
0,0,5.44424940290417,NA,10,500
4.61956050773201,2531.26603163398,9.98436504295479,100,100,500
0,0,10.0703097832063,NA,1e-06,1000
0,0,10.0703097832063,NA,1e-05,1000
0,0,10.0703097832063,NA,1e-04,1000
0,0,10.0703097832063,NA,0.001,1000
0,0,10.0703097832063,NA,0.01,1000
0,0,10.0703097832063,NA,0.1,1000
0,0,10.0703097832063,NA,1,1000
0,0,10.8884988058083,NA,10,1000
5.04004852534215,2761.67042484501,19.9687300859096,100,100,1000
0,0,50.3515489160315,NA,1e-06,5000
0,0,50.3515489160315,NA,1e-05,5000
0,0,50.3515489160315,NA,1e-04,5000
0,0,50.3515489160315,NA,0.001,5000
0,0,50.3515489160315,NA,0.01,5000
0,0,50.3515489160315,NA,0.1,5000
0,0,50.3515489160315,NA,1,5000
0,0,54.4424940290417,NA,10,5000
5.43963792909292,2980.62352279064,99.8436504295479,100,100,5000
0,0,100.703097832063,NA,1e-06,10000
0,0,100.703097832063,NA,1e-05,10000
0,0,100.703097832063,NA,1e-04,10000
0,0,100.703097832063,NA,0.001,10000
0,0,100.703097832063,NA,0.01,10000
0,0,100.703097832063,NA,0.1,10000
0,0,100.703097832063,NA,1,10000
0,0,108.884988058083,NA,10,10000
5.49439071385022,3010.62504868505,199.687300859096,100,100,10000
0,0,503.515489160315,NA,1e-06,50000
0,0,503.515489160315,NA,1e-05,50000
0,0,503.515489160315,NA,1e-04,50000
0,0,503.515489160315,NA,0.001,50000
0,0,503.515489160315,NA,0.01,50000
0,0,503.515489160315,NA,0.1,50000
0,0,503.515489160315,NA,1,50000
0,0,544.424940290417,NA,10,50000
5.53904952003746,3035.09562741779,998.436504295479,100,100,50000
0,0,1007.03097832063,NA,1e-06,1e+05
0,0,1007.03097832063,NA,1e-05,1e+05
0,0,1007.03097832063,NA,1e-04,1e+05
0,0,1007.03097832063,NA,0.001,1e+05
0,0,1007.03097832063,NA,0.01,1e+05
0,0,1007.03097832063,NA,0.1,1e+05
0,0,1007.03097832063,NA,1,1e+05
0,0,1088.84988058083,NA,10,1e+05
5.54468660635126,3038.18444183631,1996.87300859096,100,100,1e+05
