"","year","jd","Acartia.spp...unidentified.","Appendicularia","Calanus.finmarchicus","Calanus.helgolandicus","Calanus.I.IV","Calanus.V.VI.unidentified","Centropages.hamatus","Centropages.spp...Unidentified.","Centropages.typicus","Copepod.nauplii","Decapoda.larvae..Total.","Euphausiacea.Total","Evadne.spp.","Fish.eggs..Total.","Fish.larvae","Hyperiidea..Total.","Metridia.lucens","Oithona.spp.","Para.Pseudocalanus.spp.","Podon.spp.","Temora.longicornis"
"23740",1979,1,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23741",1979,2,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23742",1979,3,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23743",1979,4,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23744",1979,5,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23745",1979,6,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23746",1979,7,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23747",1979,8,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23748",1979,9,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23749",1979,10,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23750",1979,11,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23751",1979,12,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23752",1979,13,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23753",1979,14,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23754",1979,15,0,0,2.57444793012241,0,0,0,0,0,0,0,0.380672940887002,2.35467798486806,0,0,0,0,0.12558282585963,0,0,0,0
"23755",1979,16,0,0,2.58759712679169,0.000553318247627372,0,0,0,0,0,0,0.379510132064851,2.35004273320587,0,0.00191803517055928,0.0000681864046614706,0,0.125199218825518,1.77524810786209,0,0,0
"23756",1979,17,0,0,2.62588874346596,0.00217289305020578,0,0,0,0,0,0,0.376123930549794,2.33654447287094,0,0.00750352220570443,0.000270430062729463,0,0.124082121418489,6.94492666372422,0,0,0
"23757",1979,18,0,0,2.68758882014488,0.00479815449727968,0,0,0,0,0,0,0.370667673768929,2.31479444584069,0,0.0165035333906364,0.000603257640329347,0,0.122282119181502,15.2749370160002,0,0,0
"23758",1979,19,0,0,2.77096339682811,0.0083685326783935,0,0,0,0,0,0,0.363294699149352,2.28540389409255,0,0.0286651410105563,0.00106319580358649,0,0.119849797657518,26.5311805131038,0,0,0
"23759",1979,20,0,0,2.8742785135153,0.0128234576830917,0,0,0,0,0,0,0.354158344118162,2.24898405960395,0,0.0437354173506649,0.00164677121862627,0,0.116835742389497,40.4795585034488,0,0,0
"23760",1979,21,0,0,2.99580021020611,0.0181023596009187,0,0,0,0,0,0,0.343411946102453,2.20614618435233,0,0.0614614346961633,0.00235051055157406,0,0.113290538920397,56.885972335449,0,0,0
"23761",1979,22,0,0,3.13379452690018,0.024144668521419,0,0,0,0,0,0,0.331208842529324,2.15750151031511,0,0.0815902653322524,0.00317094046855521,0,0.109264772793179,75.5163233575182,0,0,0
"23762",1979,23,0,0,3.28652750359719,0.0308898145341369,0,0,0,0,0,0,0.317702370825871,2.10366127946974,0,0.103868981544133,0.00410458763569511,0,0.104809029550803,96.1365129180702,0,0,0
