"year","length"
1974,8.08653490569914
1975,7.77548588568846
1976,8.67263836956075
1977,6.37799783594253
1986,7.68489679637315
1987,7.9779759214365
1988,6.09146566955664
1989,6.88252455109504
1990,5.93474955828574
1991,8.01553190615113
1992,7.32084206489433
1993,5.56496966210571
1994,7.83353193354426
1995,6.37966881702757
1996,7.70941364999795
1997,7.70042870252428
1998,6.96495048691293
1999,7.10287490926025
2000,7.102053115284
2001,7.09309556094287
2002,5.45153470025065
2003,5.00987522428127
2004,3.15607237265618
2005,5.8735259070551
2006,6.84414677240416
2007,4.72087767596664
2008,3.85481639752914
2009,4.50704688334635
1973,7.27792558928854
1974,6.25797822616599
1976,8.09698991845598
1978,7.99649087483641
1981,7.69876173903039
1983,6.45549595156257
1984,5.70405419009679
1986,4.41744207786231
1987,3.04258409675981
1988,3.75418865862252
1989,4.65632145887564
1990,4.27716336128169
1993,6.5420160211698
1995,5.52402456387614
1997,7.59662318611307
2002,5.66597155307552
